,layer,head,aa,attn_occur_norm
2,0,0,D,1.0573097
3,0,0,E,0.8156192
8,0,0,K,1.4186817
14,0,0,R,0.6582484
22,0,1,D,0.98279655
23,0,1,E,1.1433531
28,0,1,K,0.9172924
34,0,1,R,0.8087238
42,0,2,D,1.003499
43,0,2,E,0.97740173
48,0,2,K,1.0002248
54,0,2,R,1.0112073
62,0,3,D,0.9427215
63,0,3,E,0.99488294
68,0,3,K,0.86040115
74,0,3,R,1.1304564
82,0,4,D,1.0166535
83,0,4,E,0.95119596
88,0,4,K,0.95781446
94,0,4,R,0.86508644
102,0,5,D,0.8845464
103,0,5,E,0.9538982
108,0,5,K,0.8838463
114,0,5,R,0.92593527
122,0,6,D,0.6564027
123,0,6,E,1.0935969
128,0,6,K,0.901608
134,0,6,R,1.1525224
142,0,7,D,1.1006421
143,0,7,E,1.0445493
148,0,7,K,0.8216619
154,0,7,R,0.27089414
162,0,8,D,1.3352889
163,0,8,E,0.4881254
168,0,8,K,0.5751807
174,0,8,R,0.73540807
182,0,9,D,1.0549887
183,0,9,E,1.0378208
188,0,9,K,1.0967509
194,0,9,R,0.8740528
202,0,10,D,0.9925771
203,0,10,E,0.95489323
208,0,10,K,0.99943715
214,0,10,R,0.9186886
222,0,11,D,1.0563617
223,0,11,E,0.85315037
228,0,11,K,1.1921062
234,0,11,R,0.9998935
242,0,12,D,0.8011428
243,0,12,E,0.69898146
248,0,12,K,0.5498288
254,0,12,R,1.5775378
262,0,13,D,0.97637475
263,0,13,E,0.9871442
268,0,13,K,0.97345513
274,0,13,R,0.956996
282,0,14,D,0.69850147
283,0,14,E,1.1433437
288,0,14,K,0.62202066
294,0,14,R,0.88241404
302,0,15,D,0.99929786
303,0,15,E,0.8476219
308,0,15,K,0.9186464
314,0,15,R,0.89934295
322,0,16,D,1.3670872
323,0,16,E,0.7898557
328,0,16,K,0.5231632
334,0,16,R,1.0691677
342,0,17,D,0.98392916
343,0,17,E,0.9869121
348,0,17,K,1.0395877
354,0,17,R,0.9745541
362,0,18,D,0.85616773
363,0,18,E,0.9143098
368,0,18,K,1.5011663
374,0,18,R,0.73568505
382,0,19,D,0.7614469
383,0,19,E,0.87938476
388,0,19,K,0.7400448
394,0,19,R,1.1681931
402,1,0,D,1.0084738
403,1,0,E,1.3888044
408,1,0,K,1.1479609
414,1,0,R,1.2759888
422,1,1,D,0.9825675
423,1,1,E,0.96446985
428,1,1,K,0.9550587
434,1,1,R,0.968625
442,1,2,D,1.4750566
443,1,2,E,1.2928271
448,1,2,K,1.1639667
454,1,2,R,1.3908371
462,1,3,D,0.9892386
463,1,3,E,1.0383878
468,1,3,K,0.9566335
474,1,3,R,0.9284843
482,1,4,D,0.6893267
483,1,4,E,1.6194371
488,1,4,K,2.820614
494,1,4,R,3.5105078
502,1,5,D,1.3225193
503,1,5,E,1.3509035
508,1,5,K,0.951631
514,1,5,R,1.0907706
522,1,6,D,0.67531586
523,1,6,E,0.77648354
528,1,6,K,1.32483
534,1,6,R,0.875087
542,1,7,D,1.0024998
543,1,7,E,0.9704546
548,1,7,K,0.9322289
554,1,7,R,0.96501166
562,1,8,D,0.98918915
563,1,8,E,0.96021825
568,1,8,K,0.9738031
574,1,8,R,0.9504607
582,1,9,D,0.6036092
583,1,9,E,0.71110934
588,1,9,K,1.6032867
594,1,9,R,1.6140755
602,1,10,D,1.0482146
603,1,10,E,0.97356164
608,1,10,K,0.9437809
614,1,10,R,0.91762483
622,1,11,D,1.9944346
623,1,11,E,2.1746519
628,1,11,K,1.6568648
634,1,11,R,1.6269988
642,1,12,D,1.8855411
643,1,12,E,2.410434
648,1,12,K,1.064081
654,1,12,R,0.7299789
662,1,13,D,0.93411577
663,1,13,E,1.0604024
668,1,13,K,1.0923628
674,1,13,R,0.86544985
682,1,14,D,0.38743815
683,1,14,E,0.3367709
688,1,14,K,0.3265195
694,1,14,R,0.27586767
702,1,15,D,1.0197564
703,1,15,E,0.9306548
708,1,15,K,0.8775261
714,1,15,R,0.9009388
722,1,16,D,0.97763515
723,1,16,E,0.9780353
728,1,16,K,0.96309483
734,1,16,R,0.94298756
742,1,17,D,0.16897017
743,1,17,E,0.1795041
748,1,17,K,1.2909307
754,1,17,R,1.4202108
762,1,18,D,0.8988684
763,1,18,E,0.9761493
768,1,18,K,1.1437289
774,1,18,R,0.70270586
782,1,19,D,1.1106176
783,1,19,E,0.85539144
788,1,19,K,0.67637324
794,1,19,R,0.85182136
802,2,0,D,0.7476576
803,2,0,E,0.6829636
808,2,0,K,0.20983985
814,2,0,R,0.23990126
822,2,1,D,0.6641974
823,2,1,E,0.7693178
828,2,1,K,0.850159
834,2,1,R,0.8777889
842,2,2,D,0.9766327
843,2,2,E,0.9510154
848,2,2,K,0.9604382
854,2,2,R,0.93380225
862,2,3,D,1.1727616
863,2,3,E,1.229769
868,2,3,K,1.1308073
874,2,3,R,1.2588228
882,2,4,D,0.9790336
883,2,4,E,0.9817017
888,2,4,K,0.98453707
894,2,4,R,0.983863
902,2,5,D,0.9364694
903,2,5,E,0.8997259
908,2,5,K,0.8855056
914,2,5,R,0.8691699
922,2,6,D,2.091981
923,2,6,E,1.0138261
928,2,6,K,0.88177615
934,2,6,R,0.8360228
942,2,7,D,0.8100957
943,2,7,E,0.76837677
948,2,7,K,0.86372244
954,2,7,R,1.0411453
962,2,8,D,0.6427997
963,2,8,E,0.58877903
968,2,8,K,0.57787824
974,2,8,R,0.75747436
982,2,9,D,1.200729
983,2,9,E,1.6032597
988,2,9,K,2.2122974
994,2,9,R,2.2596073
1002,2,10,D,0.770025
1003,2,10,E,0.5652224
1008,2,10,K,0.52825123
1014,2,10,R,0.5640091
1022,2,11,D,1.0883638
1023,2,11,E,0.77678156
1028,2,11,K,0.67892367
1034,2,11,R,0.7454979
1042,2,12,D,0.62417454
1043,2,12,E,0.7154957
1048,2,12,K,1.113824
1054,2,12,R,1.0019653
1062,2,13,D,0.70371836
1063,2,13,E,1.2380364
1068,2,13,K,0.97623
1074,2,13,R,0.93261683
1082,2,14,D,0.96309644
1083,2,14,E,0.9847868
1088,2,14,K,0.96732783
1094,2,14,R,0.9937038
1102,2,15,D,0.9471111
1103,2,15,E,1.0131673
1108,2,15,K,0.92516595
1114,2,15,R,0.73038256
1122,2,16,D,1.2983221
1123,2,16,E,1.2052352
1128,2,16,K,1.1674719
1134,2,16,R,1.0111235
1142,2,17,D,0.9661974
1143,2,17,E,0.9504519
1148,2,17,K,0.94843674
1154,2,17,R,0.92211264
1162,2,18,D,0.95477265
1163,2,18,E,0.97551167
1168,2,18,K,0.9684061
1174,2,18,R,0.99832094
1182,2,19,D,0.7564266
1183,2,19,E,0.9347252
1188,2,19,K,1.0338829
1194,2,19,R,0.8696743
1202,3,0,D,1.0804297
1203,3,0,E,0.88740057
1208,3,0,K,1.104136
1214,3,0,R,1.2506977
1222,3,1,D,1.3844422
1223,3,1,E,3.1519976
1228,3,1,K,1.8376889
1234,3,1,R,0.9617663
1242,3,2,D,1.0301851
1243,3,2,E,1.2786564
1248,3,2,K,1.776384
1254,3,2,R,0.8599081
1262,3,3,D,0.74098194
1263,3,3,E,0.74427944
1268,3,3,K,0.75076914
1274,3,3,R,0.67947316
1282,3,4,D,0.87947136
1283,3,4,E,0.7391974
1288,3,4,K,1.0253177
1294,3,4,R,0.98273826
1302,3,5,D,1.4138749
1303,3,5,E,1.1773738
1308,3,5,K,0.9708296
1314,3,5,R,0.8914421
1322,3,6,D,1.0011036
1323,3,6,E,0.9674976
1328,3,6,K,0.84408456
1334,3,6,R,1.0306047
1342,3,7,D,0.9494094
1343,3,7,E,0.91276634
1348,3,7,K,0.94333875
1354,3,7,R,0.9762024
1362,3,8,D,0.6101114
1363,3,8,E,0.44649696
1368,3,8,K,0.29585305
1374,3,8,R,0.26672256
1382,3,9,D,0.54821044
1383,3,9,E,0.6144696
1388,3,9,K,0.66139424
1394,3,9,R,0.8432446
1402,3,10,D,1.1105679
1403,3,10,E,1.0804662
1408,3,10,K,0.98555815
1414,3,10,R,0.9838839
1422,3,11,D,0.93068033
1423,3,11,E,0.9281496
1428,3,11,K,0.94637346
1434,3,11,R,0.97137237
1442,3,12,D,0.26259243
1443,3,12,E,0.624769
1448,3,12,K,3.8857834
1454,3,12,R,4.7004895
1462,3,13,D,0.72711754
1463,3,13,E,0.71821505
1468,3,13,K,0.7320631
1474,3,13,R,0.84312576
1482,3,14,D,1.9345965
1483,3,14,E,0.8382787
1488,3,14,K,0.83900076
1494,3,14,R,0.74262375
